"","filenames","","","","","","","","","","","","","","",""
"11","output_nomerge/nomerge82.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3+F+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"12","output_nomerge/nomerge10.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3+F+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TPM2+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"13","output_nomerge/nomerge62.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","GTR+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"14","output_nomerge/nomerge08.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"15","output_nomerge/nomerge25.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"16","output_nomerge/nomerge76.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TPM2+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"17","output_nomerge/nomerge84.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"18","output/merge92.nex.best_scheme.nex","SYM+I+G4: sia_pos1_bdnf_pos2_nxc_pos1,","GTR+F+I+G4: sia_pos2_bdnf_pos3_nxc_pos2,","TN+F+I+G4: sia_pos3,","K2P+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"19","output_nomerge/nomerge15.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TPM2+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"20","output/merge99.nex.best_scheme.nex","SYM+I+G4: sia_pos1_sia_pos2_bdnf_pos2_bdnf_pos3_nxc_pos1,","HKY+F+I+G4: sia_pos3_bdnf_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
