AIC scores of trees from 100 runs after PartitionFinder and tree estimation:
                                     runs      aic
281   output_nomerge/nomerge27.nex.iqtree 168232.7
801   output_nomerge/nomerge79.nex.iqtree 168232.8
90              output/merge89.nex.iqtree 168233.0
74              output/merge73.nex.iqtree 168233.6
351   output_nomerge/nomerge34.nex.iqtree 168234.0
311   output_nomerge/nomerge30.nex.iqtree 168234.4
82              output/merge81.nex.iqtree 168234.7
331   output_nomerge/nomerge32.nex.iqtree 168236.2
71              output/merge70.nex.iqtree 168236.8
1               output/merge01.nex.iqtree 168241.8
931   output_nomerge/nomerge92.nex.iqtree 168242.7
58              output/merge57.nex.iqtree 168244.5
32              output/merge31.nex.iqtree 168246.1
99              output/merge98.nex.iqtree 168250.7
310   output_nomerge/nomerge03.nex.iqtree 168250.7
13              output/merge12.nex.iqtree 168252.5
941   output_nomerge/nomerge93.nex.iqtree 168253.4
38              output/merge37.nex.iqtree 168254.5
9               output/merge09.nex.iqtree 168264.0
8               output/merge08.nex.iqtree 168274.8
671   output_nomerge/nomerge66.nex.iqtree 168279.2
621   output_nomerge/nomerge61.nex.iqtree 168280.7
721   output_nomerge/nomerge71.nex.iqtree 168280.9
481   output_nomerge/nomerge47.nex.iqtree 168281.4
891   output_nomerge/nomerge88.nex.iqtree 168281.9
63              output/merge62.nex.iqtree 168286.7
25              output/merge24.nex.iqtree 168287.3
68              output/merge67.nex.iqtree 168296.9
51              output/merge50.nex.iqtree 168299.0
4               output/merge04.nex.iqtree 168300.1
40              output/merge39.nex.iqtree 168303.0
28              output/merge27.nex.iqtree 168304.5
591   output_nomerge/nomerge58.nex.iqtree 168306.5
53              output/merge52.nex.iqtree 168309.6
2               output/merge02.nex.iqtree 168310.9
3               output/merge03.nex.iqtree 168311.6
84              output/merge83.nex.iqtree 168316.7
79              output/merge78.nex.iqtree 168318.3
141   output_nomerge/nomerge13.nex.iqtree 168322.1
6               output/merge06.nex.iqtree 168323.2
69              output/merge68.nex.iqtree 168328.1
36              output/merge35.nex.iqtree 168328.7
39              output/merge38.nex.iqtree 168329.3
46              output/merge45.nex.iqtree 168333.5
45              output/merge44.nex.iqtree 168338.5
98              output/merge97.nex.iqtree 168340.3
97              output/merge96.nex.iqtree 168341.8
23              output/merge22.nex.iqtree 168349.8
1001  output_nomerge/nomerge99.nex.iqtree 168359.4
10              output/merge10.nex.iqtree 168367.5
72              output/merge71.nex.iqtree 168375.8
30              output/merge29.nex.iqtree 168388.3
81              output/merge80.nex.iqtree 168392.8
35              output/merge34.nex.iqtree 168405.9
31              output/merge30.nex.iqtree 168418.8
711   output_nomerge/nomerge70.nex.iqtree 168420.8
42              output/merge41.nex.iqtree 168438.0
44              output/merge43.nex.iqtree 168439.2
16              output/merge15.nex.iqtree 168443.6
52              output/merge51.nex.iqtree 168446.9
86              output/merge85.nex.iqtree 168456.8
361   output_nomerge/nomerge35.nex.iqtree 168460.0
34              output/merge33.nex.iqtree 168463.3
29              output/merge28.nex.iqtree 168465.1
88              output/merge87.nex.iqtree 168543.5
43              output/merge42.nex.iqtree 168574.1
95              output/merge94.nex.iqtree 168671.6
19              output/merge18.nex.iqtree 168676.7
761   output_nomerge/nomerge75.nex.iqtree 168683.2
791   output_nomerge/nomerge78.nex.iqtree 168712.8
691   output_nomerge/nomerge68.nex.iqtree 168729.9
651   output_nomerge/nomerge64.nex.iqtree 168771.6
701   output_nomerge/nomerge69.nex.iqtree 168775.9
7               output/merge07.nex.iqtree 168895.2
641   output_nomerge/nomerge63.nex.iqtree 169041.7
delta aic worst - best:  1541
